trait,relationship,term,parent,ontology
cassava mealy bug severity by visual rating 1-5|month 5,contains,month 5,time of year,cxgn_time_ontology
stem diameter measurement in cm|month 5,contains,month 5,time of year,cxgn_time_ontology
Cassava anthracnose disease severity|month 5,contains,month 5,time of year,cxgn_time_ontology
Cassava bacterial blight severity|month 5,contains,month 5,time of year,cxgn_time_ontology
leaf lobe length measurement in cm|month 5,contains,month 5,time of year,cxgn_time_ontology
flowering ability visual assessment 0-3|month 5,contains,month 5,time of year,cxgn_time_ontology
sooty mould : visual 1-5|month 5,contains,month 5,time of year,cxgn_time_ontology
bemisia tabaci nymphs severity : visual 1-5|month 5,contains,month 5,time of year,cxgn_time_ontology
bemisia tabaci nymphs by counting|month 5,contains,month 5,time of year,cxgn_time_ontology
male flower number counting|month 5,contains,month 5,time of year,cxgn_time_ontology
Red spider mite severity|month 5,contains,month 5,time of year,cxgn_time_ontology
bemisia tabaci adult by counting|month 5,contains,month 5,time of year,cxgn_time_ontology
bemesia tabaci nymphs by counting|month 6,contains,month 6,time of year,cxgn_time_ontology
staygreen visual scale 1-3|month 6,contains,month 6,time of year,cxgn_time_ontology
plant height measurement in cm|month 6,contains,month 6,time of year,cxgn_time_ontology
leaf lobe width measurement in cm|month 6,contains,month 6,time of year,cxgn_time_ontology
male flower number counting|month 6,contains,month 6,time of year,cxgn_time_ontology
Cassava mosaic disease severity|month 6,contains,month 6,time of year,cxgn_time_ontology
Cassava bacterial blight severity|month 6,contains,month 6,time of year,cxgn_time_ontology
first apical branch height measurement in cm|month 6,contains,month 6,time of year,cxgn_time_ontology
number of seed sown counting|month 6,contains,month 6,time of year,cxgn_time_ontology
initial plant vigor assessment 1-5|month 6,contains,month 6,time of year,cxgn_time_ontology
bemesia tabaci nymphs severity : visual 1-5|month 6,contains,month 6,time of year,cxgn_time_ontology
flowering ability visual assessment 0-3|month 6,contains,month 6,time of year,cxgn_time_ontology
bemesia tabaci nymphs black : counting|month 6,contains,month 6,time of year,cxgn_time_ontology
Cassava green mite severity|month 6,contains,month 6,time of year,cxgn_time_ontology
bemesia tabaci adult by counting|month 6,contains,month 6,time of year,cxgn_time_ontology
branching level counting|month 6,contains,month 6,time of year,cxgn_time_ontology
cassava green mite severity first evaluation|month 6,contains,month 6,time of year,cxgn_time_ontology
number of fruits counting|month 6,contains,month 6,time of year,cxgn_time_ontology
bemesia tabaci nymphs yellow : counting|month 6,contains,month 6,time of year,cxgn_time_ontology
Typhlodromalus aripo : visual 1/0|month 6,contains,month 6,time of year,cxgn_time_ontology
sprout count discrete counting|month 6,contains,month 6,time of year,cxgn_time_ontology
number of terminal branches with inflorescence counting|month 6,contains,month 6,time of year,cxgn_time_ontology
cassava mealy bug severity by visual rating 1-5|month 6,contains,month 6,time of year,cxgn_time_ontology
Cassava brown streak disease root severity|month 6,contains,month 6,time of year,cxgn_time_ontology
stem diameter measurement in cm|month 6,contains,month 6,time of year,cxgn_time_ontology
cassava green mite severity second evaluation|month 6,contains,month 6,time of year,cxgn_time_ontology
cassava green mite incidence first evaluation|month 6,contains,month 6,time of year,cxgn_time_ontology
cassava green mite incidence second evaluation|month 6,contains,month 6,time of year,cxgn_time_ontology
male flower number counting on all levels|month 6,contains,month 6,time of year,cxgn_time_ontology
lodged plants estimation 1-3|month 6,contains,month 6,time of year,cxgn_time_ontology
female flower evaluation visual rating|month 6,contains,month 6,time of year,cxgn_time_ontology
hairiness visual observation 1-5|month 6,contains,month 6,time of year,cxgn_time_ontology
plant architecture visual rating 1-5|month 6,contains,month 6,time of year,cxgn_time_ontology
leaf lobe length measurement in cm|month 6,contains,month 6,time of year,cxgn_time_ontology
red spider mite severity : visual 1-5|month 7,contains,month 7,time of year,cxgn_time_ontology
dry matter content percentage|month 7|raw root,contains,month 7,time of year,cxgn_time_ontology
dry matter content percentage|month 7,contains,month 7,time of year,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|month 7,contains,month 7,time of year,cxgn_time_ontology
abiotic stress trait|month 7,contains,month 7,time of year,cxgn_time_ontology
Cassava mosaic disease severity|month 7,contains,month 7,time of year,cxgn_time_ontology
Cassava bacterial blight severity|month 7,contains,month 7,time of year,cxgn_time_ontology
Cassava anthracnose disease severity|month 7,contains,month 7,time of year,cxgn_time_ontology
number of seed sown counting|month 7,contains,month 7,time of year,cxgn_time_ontology
number of fruits counting|month 7,contains,month 7,time of year,cxgn_time_ontology
female flower evaluation visual rating|month 7,contains,month 7,time of year,cxgn_time_ontology
male flower number counting on all levels|month 7,contains,month 7,time of year,cxgn_time_ontology
number of terminal branches with inflorescence counting|month 7,contains,month 7,time of year,cxgn_time_ontology
male flower number counting|month 7,contains,month 7,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 8|boiling time 50 minutes,contains,month 8,time of year,cxgn_time_ontology
cassava green mite incidence first evaluation|month 8,contains,month 8,time of year,cxgn_time_ontology
cassava green mite severity first evaluation|month 8,contains,month 8,time of year,cxgn_time_ontology
dry matter content percentage|month 8|raw root,contains,month 8,time of year,cxgn_time_ontology
hydrogen cyanide ug/g wet basis|month 8,contains,month 8,time of year,cxgn_time_ontology
time of boiling estimation minute|month 8|boiled root,contains,month 8,time of year,cxgn_time_ontology
Cassava mosaic disease severity|month 8,contains,month 8,time of year,cxgn_time_ontology
male flower number counting on all levels|month 8,contains,month 8,time of year,cxgn_time_ontology
dry matter content percentage|month 8|boiled root,contains,month 8,time of year,cxgn_time_ontology
male flower number counting|month 8,contains,month 8,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 8|boiling time 60 minutes,contains,month 8,time of year,cxgn_time_ontology
abiotic stress trait|month 8,contains,month 8,time of year,cxgn_time_ontology
number of fruits counting|month 8,contains,month 8,time of year,cxgn_time_ontology
female flower evaluation visual rating|month 8,contains,month 8,time of year,cxgn_time_ontology
plant architecture visual rating 1-5|month 8,contains,month 8,time of year,cxgn_time_ontology
beta carotene content ug/g NIRS 400-2500 nm|month 8,contains,month 8,time of year,cxgn_time_ontology
dry matter content percentage|month 8|mashed raw root,contains,month 8,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 8|boiling time 40 minutes,contains,month 8,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 8|boiling time 20 minutes,contains,month 8,time of year,cxgn_time_ontology
beta carotene content ug/g|month 8,contains,month 8,time of year,cxgn_time_ontology
Total carotenes HPLC ug/g|month 8,contains,month 8,time of year,cxgn_time_ontology
fresh storage root weight per plant|month 8,contains,month 8,time of year,cxgn_time_ontology
plant height measurement in cm|month 8,contains,month 8,time of year,cxgn_time_ontology
number of seed sown counting|month 8,contains,month 8,time of year,cxgn_time_ontology
Total carotenes ug/g NIRS 400-2500 nm|month 8,contains,month 8,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 8|boiling time 30 minutes,contains,month 8,time of year,cxgn_time_ontology
number of terminal branches with inflorescence counting|month 8,contains,month 8,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 8|raw root,contains,month 8,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 8|boiling time 10 minutes,contains,month 8,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 9|raw root,contains,month 9,time of year,cxgn_time_ontology
dry matter content percentage|month 9|raw root,contains,month 9,time of year,cxgn_time_ontology
textural characteristic end force extrusion g|month 9|boiling time 18 minutes,contains,month 9,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 9|boiling time 60 minutes,contains,month 9,time of year,cxgn_time_ontology
branching level counting|month 9,contains,month 9,time of year,cxgn_time_ontology
textural characteristic distance at max force extrusion mm|month 9|boiling time 18 minutes,contains,month 9,time of year,cxgn_time_ontology
textural characteristic gradient extrusion g/mm|month 9|boiled root,contains,month 9,time of year,cxgn_time_ontology
number of terminal branches with inflorescence counting|month 9,contains,month 9,time of year,cxgn_time_ontology
number of fruits counting|month 9,contains,month 9,time of year,cxgn_time_ontology
textural characteristic area under curve extrusion gmm|month 9|boiling time 18 minutes,contains,month 9,time of year,cxgn_time_ontology
dry matter content percentage|month 9|mashed raw root,contains,month 9,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 9|boiling time 50 minutes,contains,month 9,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 9|boiling time 40 minutes,contains,month 9,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 9|boiling time 30 minutes,contains,month 9,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 9|boiling time 20 minutes,contains,month 9,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 9|boiling time 10 minutes,contains,month 9,time of year,cxgn_time_ontology
male flower number counting|month 9,contains,month 9,time of year,cxgn_time_ontology
textural characteristic max force extrusion g|month 9|boiling time 18 minutes,contains,month 9,time of year,cxgn_time_ontology
bemesia tabaci adult by counting|month 9,contains,month 9,time of year,cxgn_time_ontology
Change in weight after boiling computation percentage|month 9|boiled root,contains,month 9,time of year,cxgn_time_ontology
bemesia tabaci nymphs black : counting|month 9,contains,month 9,time of year,cxgn_time_ontology
dry matter content percentage|month 9|boiling time 30 minutes,contains,month 9,time of year,cxgn_time_ontology
plant height measurement in cm|month 9,contains,month 9,time of year,cxgn_time_ontology
bemesia tabaci nymphs severity : visual 1-5|month 9,contains,month 9,time of year,cxgn_time_ontology
bemesia tabaci nymphs yellow : counting|month 9,contains,month 9,time of year,cxgn_time_ontology
number of seed sown counting|month 9,contains,month 9,time of year,cxgn_time_ontology
female flower evaluation visual rating|month 9,contains,month 9,time of year,cxgn_time_ontology
Typhlodromalus aripo : visual 1/0|month 9,contains,month 9,time of year,cxgn_time_ontology
abiotic stress trait|month 9,contains,month 9,time of year,cxgn_time_ontology
cassava mealy bug severity by visual rating 1-5|month 9,contains,month 9,time of year,cxgn_time_ontology
hairiness visual observation 1-5|month 9,contains,month 9,time of year,cxgn_time_ontology
bemesia tabaci nymphs by counting|month 9,contains,month 9,time of year,cxgn_time_ontology
textural characteristic linear distance extrusion mm|month 9|boiling time 18 minutes,contains,month 9,time of year,cxgn_time_ontology
dry matter content percentage|month 9|axial root section|boiled root,contains,month 9,time of year,cxgn_time_ontology
textural characteristic gradient extrusion g/mm|month 9|boiling time 18 minutes,contains,month 9,time of year,cxgn_time_ontology
male flower number counting on all levels|month 9,contains,month 9,time of year,cxgn_time_ontology
time of boiling estimation minute|month 9|boiled root,contains,month 9,time of year,cxgn_time_ontology
abscisic acid content of leaf ug/g|month 9,contains,month 9,time of year,cxgn_time_ontology
Marketable root weight|proximal root section|dried root|at harvesting,contains,proximal root section,Root section,cxgn_plant_section
dry matter content percentage|month 7|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 11|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 10|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 15|Root section|raw root|after harvest,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 15|Root section|raw root|after planting,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 15|Root section|raw root|at harvesting,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|after harvest,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|after planting,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|at harvesting,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root|after harvest,contains,raw root,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 9|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root|after planting,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root|at harvesting,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|week 10|Root section|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|date of,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
Change in weight after boiling computation percentage|month 8|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
dry matter content percentage|month 11|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
dry matter content percentage|month 10|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
dry matter content percentage|month 9|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
dry matter content percentage|month 8|raw root,contains,raw root,Plant treatment,cxgn_plant_treatment
post-harvest physiological deterioration variable 0-10|day 15|Root section|raw root|after planting,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|date of,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|week 10|Root section|raw root,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root|at harvesting,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root|after planting,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 7|Root section|raw root|after harvest,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 15|Root section|raw root|after harvest,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|at harvesting,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|after planting,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 5|Root section|raw root|after harvest,contains,Root section,Plant sub-section,cxgn_plant_section
post-harvest physiological deterioration variable 0-10|day 15|Root section|raw root|at harvesting,contains,Root section,Plant sub-section,cxgn_plant_section
male flower number counting|week 10,contains,week 10,time of year,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|week 10,contains,week 10,time of year,cxgn_time_ontology
post-harvest physiological deterioration variable 0-10|week 10|Root section|raw root,contains,week 10,time of year,cxgn_time_ontology
male flower number counting on all levels|week 10,contains,week 10,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 10,contains,week 10,time of year,cxgn_time_ontology
female flower evaluation visual rating|week 10,contains,week 10,time of year,cxgn_time_ontology
number of terminal branches with inflorescence counting|week 10,contains,week 10,time of year,cxgn_time_ontology
number of fruits counting|week 10,contains,week 10,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 12,contains,week 12,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 16,contains,week 16,time of year,cxgn_time_ontology
abiotic stress trait|week 18,contains,week 18,time of year,cxgn_time_ontology
abscisic acid content of leaf ug/g|week 18,contains,week 18,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 20,contains,week 20,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 24,contains,week 24,time of year,cxgn_time_ontology
Cassava green mite severity|week 28,contains,week 28,time of year,cxgn_time_ontology
Cassava green mite incidence|week 28,contains,week 28,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 28,contains,week 28,time of year,cxgn_time_ontology
plant height per plot in m|week 29,contains,week 29,time of year,cxgn_time_ontology
plot volume in m3|week 29,contains,week 29,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 32,contains,week 32,time of year,cxgn_time_ontology
weibull fit shape variable|week 33,contains,week 33,time of year,cxgn_time_ontology
weibull fit scale variable|week 33,contains,week 33,time of year,cxgn_time_ontology
plant height per plot in m|week 33,contains,week 33,time of year,cxgn_time_ontology
plot volume in m3|week 33,contains,week 33,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 36,contains,week 36,time of year,cxgn_time_ontology
weibull fit shape variable|week 38,contains,week 38,time of year,cxgn_time_ontology
plot volume in m3|week 38,contains,week 38,time of year,cxgn_time_ontology
plant height per plot in m|week 38,contains,week 38,time of year,cxgn_time_ontology
weibull fit scale variable|week 38,contains,week 38,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 40,contains,week 40,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 44,contains,week 44,time of year,cxgn_time_ontology
plot volume in m3|week 46,contains,week 46,time of year,cxgn_time_ontology
weibull fit shape variable|week 46,contains,week 46,time of year,cxgn_time_ontology
plant height per plot in m|week 46,contains,week 46,time of year,cxgn_time_ontology
weibull fit scale variable|week 46,contains,week 46,time of year,cxgn_time_ontology
fresh storage root weight per plant|week 48,contains,week 48,time of year,cxgn_time_ontology
cassava mosaic disease severity|week 6,contains,week 6,time of year,cxgn_time_ontology
